,kyon_nums,eaten_kyons,dead_kyons,born_kyons,eaten_grasses,increase
758,287,0,1,0,166,-1
759,286,0,1,0,223,-1
760,287,0,0,1,165,1
761,288,0,0,1,178,1
762,288,0,0,0,216,0
763,289,0,0,1,172,1
764,289,0,0,0,166,0
765,290,0,0,1,159,1
766,288,1,1,0,150,-2
767,289,0,0,1,139,1
768,289,0,0,0,151,0
769,289,0,0,0,198,0
770,290,0,0,1,213,1
771,288,2,0,0,193,-2
772,289,0,0,1,160,1
773,290,0,0,1,186,1
774,290,0,0,0,130,0
775,289,0,1,0,189,-1
776,288,1,0,0,157,-1
777,288,0,0,0,222,0
778,287,0,1,0,206,-1
779,287,0,0,0,150,0
780,288,0,0,1,168,1
781,287,0,1,0,206,-1
782,289,0,1,3,179,2
783,290,0,0,1,128,1
784,290,0,0,0,241,0
785,289,0,1,0,213,-1
786,289,0,0,0,153,0
787,289,0,0,0,124,0
788,289,0,0,0,196,0
789,290,0,0,1,233,1
790,289,0,1,0,158,-1
791,289,0,0,0,162,0
792,288,0,1,0,195,-1
793,287,1,0,0,183,-1
794,287,0,1,1,178,0
795,287,0,0,0,183,0
796,286,1,0,0,167,-1
797,286,0,0,0,173,0
798,286,0,0,0,183,0
799,286,0,0,0,186,0
800,286,0,0,0,144,0
801,285,0,1,0,178,-1
802,284,1,1,1,213,-1
803,285,0,0,1,168,1
804,284,0,1,0,166,-1
805,284,0,0,0,131,0
806,284,0,1,1,185,0
807,286,0,0,2,218,2
808,286,0,0,0,195,0
809,287,0,0,1,147,1
810,287,0,0,0,124,0
811,285,2,0,0,164,-2
812,285,0,0,0,219,0
813,284,0,1,0,167,-1
814,284,0,0,0,175,0
815,283,2,0,1,223,-1
816,283,0,0,0,173,0
817,283,0,0,0,146,0
818,284,0,0,1,138,1
819,283,1,0,0,172,-1
820,283,0,0,0,219,0
821,282,0,1,0,155,-1
822,283,0,0,1,180,1
823,283,0,0,0,128,0
824,284,0,0,1,188,1
825,284,0,0,0,142,0
826,284,0,0,0,176,0
827,282,0,3,1,216,-2
828,282,0,0,0,153,0
829,283,0,0,1,173,1
830,284,0,0,1,130,1
831,282,2,0,0,193,-2
832,281,1,0,0,151,-1
833,281,0,0,0,173,0
834,280,1,0,0,142,-1
835,280,0,0,0,177,0
836,280,0,0,0,214,0
837,280,0,0,0,168,0
838,280,0,0,0,166,0
839,278,2,0,0,133,-2
840,278,0,0,0,182,0
841,278,0,0,0,173,0
842,277,1,0,0,179,-1
843,278,0,0,1,175,1
844,277,1,0,0,208,-1
845,276,0,1,0,158,-1
846,275,0,1,0,166,-1
847,277,0,0,2,122,2
848,277,0,0,0,189,0
849,277,0,1,1,200,0
850,277,0,0,0,152,0
851,277,0,0,0,164,0
852,274,3,0,0,130,-3
853,274,0,0,0,194,0
854,274,0,0,0,212,0
855,273,0,1,0,196,-1
